기준월,법정동명,일평균유동인구,시간대
2,교촌동,839.34,퇴근
2,상대동,10830.11,퇴근
2,궁동,15339.73,퇴근
2,장동,3678.35,퇴근
2,하기동,6096.62,퇴근
2,원촌동,3208.16,새벽
2,원촌동,22631.77,주간
2,용산동,5794.18,저녁
2,학하동,5737.65,저녁
2,원신흥동,26532.77,저녁
2,갑동,417.41,퇴근
2,문지동,2645.2,새벽
2,문지동,20336.09,주간
2,가정동,818.39,새벽
2,가정동,20554.58,주간
2,전민동,31734.73,저녁
2,용산동,2912.14,출근
2,신성동,19244.5,저녁
2,자운동,316.0,출근
2,전민동,11743.84,새벽
2,전민동,67675.25,주간
2,성북동,795.13,저녁
2,봉명동,33778.82,새벽
2,봉명동,108008.27,주간
2,장대동,22746.7,출근
2,도룡동,4301.86,퇴근
2,덕진동,2584.25,저녁
2,수남동,208.64,저녁
2,학하동,1694.67,출근
2,원신흥동,7623.02,출근
2,방현동,31.77,새벽
2,방현동,1900.71,주간
2,방현동,136.26,출근
2,화암동,216.83,퇴근
2,추목동,1327.47,새벽
2,추목동,16514.59,주간
2,외삼동,401.65,퇴근
2,어은동,8583.48,새벽
2,어은동,52303.57,주간
2,구성동,1428.83,새벽
2,구성동,22277.82,주간
2,반석동,34204.59,저녁
2,탑립동,297.16,새벽
2,탑립동,21231.59,주간
2,구룡동,156.02,출근
2,학하동,2929.25,퇴근
2,원신흥동,13067.62,퇴근
2,구룡동,33.41,저녁
2,계산동,3220.08,새벽
2,계산동,13132.39,주간
2,송정동,478.13,저녁
2,방동,823.82,저녁
2,덕명동,4614.21,출근
2,복용동,8205.75,저녁
2,노은동,8633.6,새벽
2,노은동,39463.7,주간
2,노은동,5275.77,출근
2,지족동,13871.75,새벽
2,지족동,71469.82,주간
2,자운동,568.03,퇴근
2,안산동,115.01,저녁
2,금고동,123.71,출근
2,교촌동,1527.1,저녁
2,송정동,340.27,퇴근
2,방동,487.98,퇴근
2,구암동,4569.68,출근
2,상대동,22987.6,저녁
2,복용동,3848.89,퇴근
2,궁동,26056.73,저녁
2,장동,3736.25,저녁
2,하기동,13220.43,저녁
2,안산동,75.64,퇴근
2,둔곡동,143.05,출근
2,용계동,1344.85,새벽
2,용계동,7667.83,주간
2,성북동,206.45,출근
2,세동,23.25,퇴근
2,갑동,767.52,저녁
2,덕진동,1564.47,출근
2,수남동,213.65,출근
2,대동,43.04,주간
2,계산동,7156.65,저녁
2,노은동,19805.18,저녁
2,지족동,34267.13,저녁
2,신성동,5400.58,출근
2,용산동,3560.27,퇴근
2,봉산동,4805.89,새벽
2,봉산동,18852.56,주간
2,봉산동,2799.65,출근
2,송강동,12808.01,새벽
2,송강동,45806.38,주간
2,금탄동,13.45,새벽
